draw_rank,sampling_key_sha256,candidate_id,canonical_repo_url,target_datasets,discovery_source,search_ids,repo_relation,original_notes,selection_status,screening_outcome,exclusion_code,exclusion_reason,frozen_commit,checked_at,eligible_sequence
78,447f41fa2984ae8bab54eb137b5e74b1aab422ecbcdd0e98b57ec744f2e3d6da,C240,https://github.com/abikaki/awesome-speech-emotion-recognition,CREMA-D,WebSearch,RC_WEB_CRE_VERIFY,unknown,raw CREMA-D supplementary-web result; unique-repository order=11,not_reached,,,,,,
79,4582fdbe95bc1b16e6b29e632864a7adc77651ce755131c93169b1088f76cb45,C281,https://github.com/akhil2495/multi-modal-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
80,4612ec71b795ffde93b7073a33989e48da7fb4d1a046d2c0f496636178a80d8c,C275,https://github.com/AShirsat96/Speech-Emotion-Recognition-with-Wav2Vec2,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
81,46961678e649e6ba57b5f8073391c087f9bf0fff1a214bf651aeea8981577a2e,C117,https://github.com/LavanuruRohithRoy/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=88,not_reached,,,,,,
82,4761b2430e6e91ccebce9ca22de70f0900516c94f74e9fbe61f7a74d9fd2df8c,C201,https://github.com/Mohamedgomaa128/EmoVoice,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=44; raw GitHub repository-search hit; GH-CRE-2 rank=58,not_reached,,,,,,
83,4770efb205fe937e2fda8ffa46e1330ab79ba184e3ad37ba51786cd5adf1ec47,C176,https://github.com/DHIWAHAR-K/Speech-Emotion-Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=19; raw GitHub repository-search hit; GH-CRE-2 rank=30,not_reached,,,,,,
84,47c9ee7972523877dd60d2376a707ba3d52b6a71e4ad726246c437a2f31b4f1b,C032,https://github.com/praweshd/speech_emotion_recognition,RAVDESS|EmoDB,WebSearch|GitHubAPI,WEB01|RC_GH_RAV_1|RC_GH_RAV_2|RC_WEB_BATCH|RC_WEB_RAV_VERIFY|IE_WEB_E_01,supplemental_code,raw GitHub repository-search hit; GH-RAV-1 rank=5; raw GitHub repository-search hit; GH-RAV-2 rank=8; raw combined web-search result; unique-repository order=5; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=3,not_reached,,,,,,
85,48a6d98e9c3879873bacaade318000b1bd1e6059ee0b21693c9999c79ada077c,C358,https://github.com/GiovanniNoe02/Classification-of-Emotions-using-EMO-DB,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02|IE_GH_E_LONG_02,unknown,,not_reached,,,,,,
86,49690b286f35fa35ddec6d1b876c275ad2510761a4b62abeeb0be4d27b600ec9,C013,https://github.com/Ab-Romia/RAVDESS-emotion-recognition,RAVDESS,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=59,not_reached,,,,,,
87,4b1cd7713a41362e6e40a015a3bc5ad9f909a944b622865eeff7e2a8b6b091aa,C113,https://github.com/Sans532/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=84,not_reached,,,,,,
88,4b20eeb8a705081b447cd878fc1366b48c64edb958ef5143ee401e279f2f1001,C069,https://github.com/ad1296-y/SER-CNN-RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=37; raw GitHub repository-search hit; GH-RAV-2 rank=50,not_reached,,,,,,
89,4bc8fe79881d50f4add70ac20e8aebb0b71656fabd5c4b3ec54c0f36e25eeda8,C095,https://github.com/tomfran/ravdess-ser,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=66; raw GitHub repository-search hit; GH-RAV-2 rank=87,not_reached,,,,,,
90,4ce624cd14d7ba50e703d63cff2356c5b5e3de285d252d64166269878e3d1b0d,C024,https://github.com/YunusEmre1213/crema-d-emotion-recognition,CREMA-D,GitHub|GitHubAPI,GH04|RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=14; raw GitHub repository-search hit; GH-CRE-2 rank=5,not_reached,,,,,,
91,4cf3bf0a46fd9e887487f2c22f6ceb73f271808115f50f0561e56e279b91ad40,C287,https://github.com/ido-rosenberger/emotion-recognition-iemocap,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
92,4d7ecd1a65e75a93e33065c5a6fe4b2bf1818fc775d141255319d3c0aee5b690,C159,https://github.com/Nirvik28/Emotion_Recognition_wav_RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=83,not_reached,,,,,,
93,4dae0d2f4b9c45bc253dcc9f09fb4f84484c0ac63575a1bd411cf5aa7b51d33a,C314,https://github.com/PranavViswanathan/MERC,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
94,4f62d56184afc4d6271dba4cc7b41b3051bfe879a4ce3372876d458ec65b2a9f,C278,https://github.com/ouoouoouoouo/merits-l-llama,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
95,4f963a4c4a89f001c8f5af2bb630adbf54ee751594e8d2f450447be06cd0a26c,C310,https://github.com/kuksm/Multimodal-Speech-Text-Emotion-Recognizer,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
96,50c68c113d08cf19f01f1900d6b94331b976e81d5d5e9b279bef02a54087fac6,C360,https://github.com/jayeshkadam785/CodeAlpha_Emotion-Recognition-from-Speech,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
97,5170078634b338b04798ed422db2f114d136c6252d081993bd0768bc4fdf1413,C193,https://github.com/1453nicat/Emotion-Detection-from-Speech-Signals-with-Machine-Learning,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=36; raw GitHub repository-search hit; GH-CRE-2 rank=28,not_reached,,,,,,
98,5170d5b5efd5cc27257c6565515a214a1000b4d1e5c8bed9e4684f235e3d6118,C020,https://github.com/BeestRatish/RAVDESS-Emotion-Recognition,RAVDESS,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=62,not_reached,,,,,,
99,51d51e21801106505df44fa4826d802f0a3dd2868196963c5a4c295bcb9d16e9,C212,https://github.com/mariembahri21/Emotion_Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=23,not_reached,,,,,,
100,521443753951672217aac9c48cd677e6c3047970f96af57068883f9d35f8e306,C233,https://github.com/tuncayka/speech_emotion,RAVDESS,WebSearch,RC_WEB_RAV_VERIFY,unknown,raw RAVDESS supplementary-web result; unique-repository order=1,not_reached,,,,,,
101,526533c700258ff0655e908a07023c0454dd40793ad6674dc3e4235b69ed7bed,C087,https://github.com/Elnaz-Khaveh/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=56,not_reached,,,,,,
102,52b36441dc31831732780b7e91d87f64fd10addadbb30674c9204bb5568f153a,C229,https://github.com/IliaZenkov/sklearn-audio-classification,RAVDESS,WebSearch,RC_WEB_BATCH|RC_WEB_RAV_VERIFY,unknown,raw combined web-search result; unique-repository order=9; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=9,not_reached,,,,,,
103,53750f2e137171c3165cad681a7739d39262908bdcaf2b089bd817074fec9270,C160,https://github.com/petros94/multimodal-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=88,not_reached,,,,,,
104,53758e79c4c4027d74b23bf4d8fdbef03a8ccdc2cff1a20bfaf37931a8d0ce24,C308,https://github.com/Wissemtriki/Audio-and-text-based-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
105,537a98fde37e416a67a5a069454e7fd9a8ae2f20558543886ad9b3528f1f1072,C015,https://github.com/Nabilthahamid/CSE_427_RAVDESS-Emotion-Recognition-System,RAVDESS,GitHub,GH02,unknown,,not_reached,,,,,,
106,54b09c06c2b1389e43e172d53cff82805c92bc14e356392651cdaa3c0f494cdb,C313,https://github.com/am541-fordham/Auris---NLP,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
107,5661007e5f7dbd22d722200a546e1f7e05c9e2c6c072cba585713e1f97c1876a,C249,https://github.com/nhut-ngnn/Multimodal-Speech-Emotion-Recognition,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
108,57218ad989d720b8d04a5a39e2ff0bbaeb4bed3a95495fd0a3c04e021447cd17,C347,https://github.com/sselgrad23/speech-emotion-recognition-ml,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
109,57fe502129887a764a9dacdd0bc141827ec44b1c7986118b127fa60a13c5db1c,C273,https://github.com/ouoouoouoouo/merits-l-inference,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
110,58836746c286869011abdc0af1ddd7f0c2d49c0085141c92db259f95767371dc,C068,https://github.com/ShahnawazKakarh/speech-emotion-recognition-transfer-learning,RAVDESS|IEMOCAP,GitHubAPI,RC_GH_RAV_1|IE_GH_I_01|IE_GH_I_02,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=36,not_reached,,,,,,
111,58c84a2035c7b4dfe1fdf1ac42a801dfe268eb0aba1cd18cdf6f794f5f5398d6,C054,https://github.com/PreetamTeja/SpeechEmotionRecognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=22; raw GitHub repository-search hit; GH-RAV-2 rank=42,not_reached,,,,,,
112,599759c1f72a78b5d485cd731e8c192e2c9d1fde471e7ff1b4e2d3a49cd26988,C335,https://github.com/farah-mhedhbi/SER-Reproduction,EmoDB,GitHubAPI,IE_GH_E_02,unknown,,not_reached,,,,,,
113,5b5fe5f645c01e92747dd8e3b717b3f18d6c3d1201ca2a188ff48e4c208b26ac,C330,https://github.com/Aseed2004/speech-emotion-recoginition-master,EmoDB,GitHubAPI,IE_GH_E_01|IE_GH_E_02,unknown,,not_reached,,,,,,
114,5b72b1585fa693599d1a7cd774e3127b7f16b60c464f967ecdf03ec732e6d5d0,C012,https://github.com/nik-2002/ravdess-emotion-recognition,RAVDESS,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=63,not_reached,,,,,,
115,5c944c1f70133155476eeef48a6eac22baf499ee6ef63d66e8dcc8002e37c164,C349,https://github.com/alyhxn/Speech-Emotion-Recognition-Emo-db,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
116,5caef28e0249a20c83f7e4f7b57f419b2adab32ea6ee48ad23a954f2d3711fc2,C143,https://github.com/wangyx240/real_time_emotion_recognition_based_on_face,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=43,not_reached,,,,,,
117,5d0bc581a61b22e9c3775e3b10f32f8b92fe8295dc6a34525d805cfe9ee252d4,C100,https://github.com/vcosss/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=71,not_reached,,,,,,
118,5d565af6a65ebf7549c1313c14e06cd74ebf3cedec427a10f4edad0782a971f2,C294,https://github.com/darwinrocha85/fuzzy-embracenet,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
119,5db86e51bbe2a22484144ab912a682b950dd757ce66a0ec704f71dd7f7e8b9c2,C092,https://github.com/pavanpadmata/speech-emotion-recognition-ravdess-data,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=61; raw GitHub repository-search hit; GH-RAV-2 rank=99,not_reached,,,,,,
120,5de8a27e77154852e8f09fe735011f2098fd196b41f83f2bd2258dcff083f770,C222,https://github.com/Abdullahnaveed102/Sentiment-Analysis-of-Audio-Recordings,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=63,not_reached,,,,,,
121,5f98dfc14f3de21a657426cd283d285ebbed56898df7219ec60fd54259ebbfcc,C359,https://github.com/mohamedamineya/Emotion-Recognition-from-Speech-using-Deep-Learning,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
122,6011491cad74d2bba341675066e7cba51a8587e0244e8b87018035d5887839ab,C030,https://github.com/s-omranpour/Speech-Emotion-Recognition,RAVDESS,WebSearch|GitHubAPI,WEB01|RC_GH_RAV_1|RC_GH_RAV_2|RC_WEB_RAV_VERIFY,supplemental_code,raw GitHub repository-search hit; GH-RAV-1 rank=15; raw GitHub repository-search hit; GH-RAV-2 rank=26; raw RAVDESS supplementary-web result; unique-repository order=2,not_reached,,,,,,
123,6089cec631829f175e1b180ae9fb43f423c28c61b872cb3af23ff9d9e97f8b29,C303,https://github.com/Aditya3107/SpecAugment-vs-CodecAugment,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
124,6095907188f2d77ba29686aa4d511192f405aacf8e41c95adc36cf0a63ed0dc7,C312,https://github.com/Sanjula03/AEMER,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
125,60b895dd5bb70497b645c73baeab5f766f232f61e15768f196bc4c57ef35ea4f,C228,https://github.com/vmehtacode/speech-emotion-recognition,RAVDESS,WebSearch,RC_WEB_BATCH|RC_WEB_RAV_VERIFY,unknown,raw combined web-search result; unique-repository order=7; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=7,not_reached,,,,,,
126,614b777adca0a96a51ea9fb0091ba98dd9866a7fed005ae2fde94616fad0d30f,C111,https://github.com/kankana2005-cloud/SpeechEmotionRecognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=82,not_reached,,,,,,
127,6151eef0cad7176dda180a7f47bedfdca6346205aa54e987b4faac9a424125b4,C162,https://github.com/MederbekTuratbekov/ml_RAVDESS_EmotionalSpeechAudio,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=93,not_reached,,,,,,
128,620df2a68b72402d2801c37ab7fab64e435d2149f21bc8607116532061982b6d,C071,https://github.com/anupriyadhiman/Speech-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=39; raw GitHub repository-search hit; GH-RAV-2 rank=66,not_reached,,,,,,
129,6229198416010f41461fde5f063ab4b2599115ea70e3340a21404baa2d2eb623,C196,https://github.com/omidnaeej/Speech-Emotion-Recognition-Mel-Spectrograms-and-HuBERT-Embeddings,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=39; raw GitHub repository-search hit; GH-CRE-2 rank=52,not_reached,,,,,,
130,64576fcbc1ace594ea098f8503c5e87f5bb473bf7ff287b9afe40eb9379498f4,C353,https://github.com/Bhirundha01/Speech-Emotion-recognition-by-Deep-Learning,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
131,64d49a628ca7bc206492f454645c3eda88069f39f33a878d29c8c483823da0e3,C133,https://github.com/Baibhav-nag/Multimodal-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=13,not_reached,,,,,,
132,6843f90feb823a7317458e1ee78716700cc1fecdb4c83c432eb0f0cf294e6d7f,C175,https://github.com/MatamDinesh0802/Speech-Emotion-Recognition-LSTM,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=18; raw GitHub repository-search hit; GH-CRE-2 rank=25,not_reached,,,,,,
133,68f37c9b41a6042e078b6b52f10dab226c5b6feb3aa3d574fba11e42135c2e2d,C056,https://github.com/shengwei-peng/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=24; raw GitHub repository-search hit; GH-RAV-2 rank=34,not_reached,,,,,,
134,69604730fe2c72c0204022b8308db22bd45acb3c31e77aa2385b58af3046ab88,C331,https://github.com/HaoTse/emotion-recognition,EmoDB,GitHubAPI,IE_GH_E_02,unknown,,not_reached,,,,,,
135,6abf3ca65b3f34c5d9859058ec993034d05ec8128fd206b0ed8024860e7fd605,C115,https://github.com/ramah32/wav2vec-ravdess-ser,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=86,not_reached,,,,,,
136,6c067780256f5539b95592815118ff4f6692bf07156f27a922c5a1c07c46e5d3,C184,https://github.com/saikolupoti/Speech_Emotion_Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=27; raw GitHub repository-search hit; GH-CRE-2 rank=43,not_reached,,,,,,
137,6e110c65b902248527537a47033ee04ff2ff0d642734bcc0114d6137e49a571a,C094,https://github.com/PKLekhasri/speech-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=65,not_reached,,,,,,
138,6e33ecf823af1b03507c7cbb73b08e11169bffc8fa0187fcaa5c9260a2858e0f,C302,https://github.com/FedericoIppolito/Tensor-Network-for-Emotion-Recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
139,6ea9f8359732a914d6733679865ef20e46eb25ab1ed99a58d03be7b87567642d,C322,https://github.com/Shivendu-kr/Speech-Emotion-Recognition,EmoDB,GitHubAPI,IE_GH_E_01|IE_GH_E_02,unknown,,not_reached,,,,,,
140,6f0dbac5b4af50ea272692d8eca5908c396daf96d88003cc92e63970c4564818,C260,https://github.com/jaaferklila/speech_emotion_recognition_iemocap,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
141,6fc640e3c63be434e933af95db35d06791244a79d9e1c12d3d318919a1fb1a26,C103,https://github.com/Yuvrxj7908/Speech-Emotion-Recognition-on-RAVDESS-Dataset,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=74,not_reached,,,,,,
142,70c5f10ffdb7c585fdaf0743f03f9b7be0802c9beda3dc6de89f61ccd7c7d2e8,C165,https://github.com/ShreyRavalCE/Speech-Emotion-Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=6; raw GitHub repository-search hit; GH-CRE-2 rank=9,not_reached,,,,,,
143,70d878d6b95849fad2898fdc8ed2321d51664d987867912e07ebe11fc313efec,C213,https://github.com/Seldarzu/MER_Crema_D_,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=24,not_reached,,,,,,
144,7121bb09f10c4055a76bcf0e587c8177d682fdd9147cff55d0b8ac4a9a35ee7d,C029,https://github.com/swethasri1-9/IEMOCAPspeechEmotionRecognition,IEMOCAP,GitHub|GitHubAPI,GH06|IE_GH_I_02,unknown,,not_reached,,,,,,
145,7200009278a1a147993169e89f2df6d1b59a6aaaf7f8acd5d788dc3d773cd4ce,C305,https://github.com/hiyadullu/spatiotemporal-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
146,74acb047948ad9ee4aedb18af567b5c432d9f8e55982f0f9d92da352db46868c,C108,https://github.com/pranavharke/SpeechEmotionDetection,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=79; raw GitHub repository-search hit; GH-RAV-2 rank=47,not_reached,,,,,,
147,750c22daef222d53fb26aa98ea391386ed9df21687d5032f61e45acbcd04c588,C284,https://github.com/sadat1971/Emotion_Recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
148,7585c826e6d16a03f0e6c54e13c196e41863dff582ccc890fb860b8bba580243,C063,https://github.com/Ls2lax/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=31; raw GitHub repository-search hit; GH-RAV-2 rank=45,not_reached,,,,,,
149,770aac8d74cc7f35be133cd1c18904bef0118959d1d44acd9b99255ab483d5be,C199,https://github.com/Eslamelzamkan/SER-Classical-vs-DeepLearning,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=42; raw GitHub repository-search hit; GH-CRE-2 rank=56,not_reached,,,,,,
150,77f4e4757eb03493cbdfa05da4c9817e8e2d69043a4b60efc37c18f8f56d4464,C309,https://github.com/Salimgggg/reconaissance_emotions,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
151,789ba981b60a81d842ce5091d821bbba17249208f0ce4fa76f30f02a87d01b57,C277,https://github.com/tarunbhat-coet/multimodal-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
152,78bd8a97ef2c2f8b4c42d9416688b239176f5a68d7964c6bf6c19d6f312dc32e,C137,https://github.com/timsamson/audible_emotion_recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=29,not_reached,,,,,,
153,79ee40c3318bacdb990b440090036389f3739be604b103b97ca351a444e4de70,C120,https://github.com/aaryamehrotra2007/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=91,not_reached,,,,,,
154,7a8250ebb4ef6dc90e54489e08e2cf17a1a5de42f3e5844e7e480b2016f4515f,C126,https://github.com/scarletsiren50-art/CodeAlpha_SpeechEmotionRecognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=97,not_reached,,,,,,
155,7c3d3f91fa239835292bdb238e4c6bdb639f33996e83d0fac5fb0d70d2d9f169,C140,https://github.com/McSnipe97/ravdess,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=37,not_reached,,,,,,
156,7cee40b3af611846a6bd9956600843db4b00f21d61114da8c3b0a25d3a682986,C290,https://github.com/Achyut-Krishna/emotion_recognition_iemocap,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
157,7d63e85aae144781b0dedd5f9c5848da7280f7691eb37abe287a4084f1ac3db3,C142,https://github.com/MSJ1996/RAVDESS-Dataset,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=41,not_reached,,,,,,
158,7f499badda90d8bf4eeaea2eb29f24b01914ad64358af6e1b32950678d751c65,C004,https://github.com/bradleyshelley99/Speech-Emotion-Recognition-through-Ensemble-Learning,RAVDESS,GitHub,GH01,unknown,,not_reached,,,,,,
159,80532e1b1345661847b1a0e89b2f5089cb69f25a806ba470dabb982a9d8e28ad,C037,https://github.com/KanikeSaiPrakash/Speech-Emotion-Recognition,RAVDESS|CREMA-D|IEMOCAP|EmoDB,WebSearch,WEB02|WEB04|RC_WEB_BATCH|RC_WEB_RAV_VERIFY|RC_WEB_CRE_VERIFY|IE_WEB_IE_00|IE_WEB_I_01|IE_WEB_E_01,supplemental_code,raw combined web-search result; unique-repository order=11; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=4; raw CREMA-D supplementary-web result; unique-repository order=2 || WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL,not_reached,,,,,,
160,8072b51bd3757ff1b5bb02de69dbe0079bdcc31696c3a0f173a5046a9e0579f7,C267,https://github.com/Nada-belarbi/multimodal-speech-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
161,85838c39ef036603a10dbc9555438ef0be1754539ef775c70ca62c2490657c27,C170,https://github.com/MohEsmail143/speech-emotion-recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=12; raw GitHub repository-search hit; GH-CRE-2 rank=16,not_reached,,,,,,
162,87cf72114eb5c6d3b831a2d309e500176120a5d536ffb6dea7c4e03147509338,C127,https://github.com/harshitschooled/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=98,not_reached,,,,,,
163,889e9aaa6a8bba2abd1ade5ed2974f8566efb27a4c3c7e29a01f985d4bd6aefb,C216,https://github.com/shudhanshurp/Emotion-Recognition-from-Audio-ERA,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=49,not_reached,,,,,,
164,89899c37a963e4507d5a0cc3c8aa9a20eed7f6ec03b9ac4de59be002a9607368,C090,https://github.com/basitajaz12/speech-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=59,not_reached,,,,,,
165,89def62022aabc127909928ed9f3abbffbaa4672d3af4defda21e2eb6e933c7a,C083,https://github.com/saufi-opi/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=52; raw GitHub repository-search hit; GH-RAV-2 rank=90,not_reached,,,,,,
166,8a0a221201687277a7d97ea2a2b362b73cee70eeed9972a57f3452d253f37cf1,C161,https://github.com/himanshuraj001/Emotion_Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=89,not_reached,,,,,,
167,8a0c967bb5246a1891054397a9c37362fb117ffee23113b9fc26facfeff9b5b9,C227,https://github.com/Meghashyam-adimallam/speech-emotion-recognition,RAVDESS,WebSearch,RC_WEB_BATCH|RC_WEB_RAV_VERIFY,unknown,raw combined web-search result; unique-repository order=6; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=6,not_reached,,,,,,
